subject,word,affricate,rhyme,context,repetition,VOT,intensity,F1,clo_voi,aff_voi
cs,chain,tS,ain,stop,2,0.084,78.81,409.5,none,none
cs,chain,tS,ain,vowel,2,0.095,74.67,430.2,none,none
cs,chain,tS,ain,stop,1,0.1053,78.2,419,none,none
cs,chain,tS,ain,vowel,1,0.1125,77.2,402,none,none
cs,char,tS,ar,stop,1,0.0778,77.3,493,none,none
cs,char,tS,ar,vowel,2,0.096,76.24,519.7,none,none
cs,char,tS,ar,vowel,1,0.1047,78.8,631,none,part
cs,char,tS,ar,stop,2,0.149,75.92,515.6,none,none
cs,cheer,tS,eer,stop,1,0.0871,81.8,352,none,none
cs,cheer,tS,eer,stop,2,0.107,76.07,328.7,none,none
cs,cheer,tS,eer,vowel,2,0.116,76.95,126.8,none,none
cs,cheer,tS,eer,vowel,1,0.1181,80.1,336,none,none
cs,chest,tS,est,stop,2,0.073,78.39,480.2,none,none
cs,chest,tS,est,vowel,1,0.0856,76.1,478,none,none
cs,chest,tS,est,stop,1,0.0896,78.4,488,none,none
cs,chest,tS,est,vowel,2,0.11,77.81,485.9,none,none
cs,chin,tS,in,stop,1,0.068,79,481,none,none
cs,chin,tS,in,vowel,1,0.088,79.7,507,none,part
cs,chin,tS,in,vowel,2,0.089,78.87,303.9,none,none
cs,chin,tS,in,stop,2,0.122,76.54,240.2,none,none
cs,choke,tS,oke,vowel,2,0.077,75.64,281.8,none,none
cs,choke,tS,oke,stop,1,0.0786,78.5,440,none,none
cs,choke,tS,oke,vowel,1,0.0794,76.2,422,none,none
cs,choke,tS,oke,stop,2,0.086,76.82,491.4,none,none
cs,chunk,tS,unk,stop,1,0.0631,79,510,none,none
cs,chunk,tS,unk,vowel,1,0.0877,79,559,none,none
cs,chunk,tS,unk,vowel,2,0.102,79.91,229.5,none,none
cs,chunk,tS,unk,stop,2,0.104,75.75,493.4,none,none
cs,gin,dZ,in,vowel,2,0.038,74.12,360.3,full,part
cs,gin,dZ,in,vowel,1,0.0443,75.5,398,full,part
cs,gin,dZ,in,stop,2,0.05,73.81,383.9,none,part
cs,gin,dZ,in,stop,1,0.0674,74.5,406,full,part
cs,jane,dZ,ain,stop,1,0.0484,76.5,384,part,part
cs,jane,dZ,ain,vowel,1,0.0508,73.1,365,full,part
cs,jane,dZ,ain,stop,2,0.059,74.81,333.9,none,none
cs,jane,dZ,ain,vowel,2,0.06,74.04,318,full,none
cs,jar,dZ,ar,stop,1,0.0317,72.3,386,full,part
cs,jar,dZ,ar,stop,2,0.037,72.16,407.6,none,part
cs,jar,dZ,ar,vowel,2,0.043,73.57,421.3,full,full
cs,jar,dZ,ar,vowel,1,0.0488,73.3,388,full,part
cs,jeer,dZ,eer,stop,2,0.048,72.44,188.5,full,full
cs,jeer,dZ,eer,stop,1,0.0521,73.7,331,full,part
cs,jeer,dZ,eer,vowel,2,0.06,75.91,295.9,full,full
cs,jeer,dZ,eer,vowel,1,0.074,74.2,317,full,part
cs,jest,dZ,est,stop,2,0.037,73.41,357.5,part,none
cs,jest,dZ,est,stop,1,0.0531,68.5,308,full,part
cs,jest,dZ,est,vowel,2,0.055,73.54,343.4,full,part
cs,jest,dZ,est,vowel,1,0.0577,74.8,388,full,part
cs,joke,dZ,oke,stop,2,0.042,71.53,294.8,part,none
cs,joke,dZ,oke,vowel,2,0.047,73.59,154.6,full,part
cs,joke,dZ,oke,vowel,1,0.0488,74.6,367,full,part
cs,joke,dZ,oke,stop,1,0.1228,60.7,344,full,full
cs,junk,dZ,unk,stop,1,0.0373,72.2,402,full,part
cs,junk,dZ,unk,stop,2,0.041,74.01,427.4,none,none
cs,junk,dZ,unk,vowel,1,0.0413,72.8,429,full,part
cs,junk,dZ,unk,vowel,2,0.048,72.23,539.6,full,part
er,chain,tS,ain,stop,1,0.09,63.6,414,none,none
er,chain,tS,ain,vowel,1,0.11,68.4,383,none,none
er,chain,tS,ain,stop,2,0.12,67.7,414,none,none
er,chain,tS,ain,vowel,2,0.13,68.6,393,none,none
er,char,tS,ar,stop,2,0.1,68.6,434,none,none
er,char,tS,ar,stop,1,0.12,66.7,476,none,none
er,char,tS,ar,vowel,2,0.13,67.3,434,none,none
er,char,tS,ar,vowel,1,0.14,70.1,435,none,none
er,cheer,tS,eer,vowel,1,0.12,67.8,357,none,none
er,cheer,tS,eer,stop,2,0.12,67.8,311,none,none
er,cheer,tS,eer,stop,1,0.13,64.7,331,none,none
er,cheer,tS,eer,vowel,2,0.14,67.4,331,none,none
er,chest,tS,est,stop,2,0.11,64.2,455,none,none
er,chest,tS,est,stop,1,0.12,66.5,496,none,none
er,chest,tS,est,vowel,1,0.13,69,461,none,none
er,chest,tS,est,vowel,2,0.13,66.8,476,none,none
er,chin,tS,in,stop,1,0.11,67.3,434,none,none
er,chin,tS,in,vowel,2,0.13,69.7,455,none,none
er,chin,tS,in,vowel,1,0.14,69.3,461,none,none
er,chin,tS,in,stop,2,0.15,69,393,none,none
er,choke,tS,oke,stop,1,0.1,67.1,434,none,none
er,choke,tS,oke,stop,2,0.1,67.4,434,none,none
er,choke,tS,oke,vowel,2,0.11,65.9,414,none,none
er,choke,tS,oke,vowel,1,0.15,67.9,409,none,none
er,chunk,tS,unk,stop,1,0.09,62.5,414,none,none
er,chunk,tS,unk,vowel,1,0.11,72.1,435,none,none
er,chunk,tS,unk,stop,2,0.12,66.2,393,none,none
er,chunk,tS,unk,vowel,2,0.13,68.2,455,none,none
er,gin,dZ,in,vowel,1,0.05,66.8,357,part,full
er,gin,dZ,in,vowel,2,0.06,64.7,331,full,full
er,gin,dZ,in,stop,1,0.06,65.9,311,full,full
er,gin,dZ,in,stop,2,0.09,66.5,331,full,full
er,jane,dZ,ain,stop,2,0.05,64.2,352,full,full
er,jane,dZ,ain,stop,1,0.06,68.1,352,part,none
er,jane,dZ,ain,vowel,1,0.07,66.3,357,full,full
er,jane,dZ,ain,vowel,2,0.07,64.5,352,full,full
er,jar,dZ,ar,stop,1,0.04,61.9,393,part,none
er,jar,dZ,ar,stop,2,0.04,64,393,part,part
er,jar,dZ,ar,vowel,1,0.05,65.5,331,full,full
er,jar,dZ,ar,vowel,2,0.07,65.7,331,full,full
er,jeer,dZ,eer,vowel,2,0.06,64.1,311,full,full
er,jeer,dZ,eer,stop,2,0.06,67.9,311,full,full
er,jeer,dZ,eer,vowel,1,0.08,68,305,full,full
